,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloud Cover,Wind Speed,Country,Datetime,Hemisphere
0,talara,-4.5772,-81.2719,67.51400000000004,85,69,7.76,PE,1622592797,south
1,san patricio,28.017,-97.5169,84.29000000000002,68,84,5.4,US,1622592797,north
2,puerto ayora,-0.7393,-90.3518,74.55200000000008,88,93,2.24,EC,1622592798,south
3,mataura,-46.1927,168.8643,49.478000000000065,94,100,1.31,NZ,1622592798,south
4,cabo san lucas,22.8909,-109.9124,95.61200000000005,14,40,4.12,MX,1622592594,north
5,arraial do cabo,-22.9661,-42.0278,72.24800000000002,79,8,2.98,BR,1622592516,south
6,qaqortoq,60.7167,-46.0333,43.30400000000005,81,63,1.97,GL,1622592378,north
7,rikitea,-23.1203,-134.9692,71.34800000000003,57,1,9.06,PF,1622592798,south
8,bluff,-46.6,168.3333,49.80200000000008,80,78,7.95,NZ,1622592799,south
9,bhadra,29.1167,75.1667,79.44800000000004,54,11,3.09,IN,1622592799,north
10,basqal,40.7552,48.391,64.36400000000003,34,0,2.25,AZ,1622592799,north
11,mangai,-4.05,19.5333,68.57600000000009,48,86,0.26,CD,1622592800,south
12,khatanga,71.9667,102.5,35.33000000000004,99,100,5.04,RU,1622592800,north
13,ushuaia,-54.8,-68.3,29.858000000000004,93,90,6.17,AR,1622592691,south
14,saint-leu,-21.15,55.2833,72.46400000000003,86,50,4.98,RE,1622592800,south
15,narsaq,60.9167,-46.05,43.016000000000005,77,71,1.16,GL,1622592410,north
16,sao filipe,14.8961,-24.4956,72.82400000000001,79,78,3.01,CV,1622592801,north
17,norman wells,65.282,-126.8329,43.43000000000004,89,100,3.64,CA,1622592801,north
18,chuy,-33.6971,-53.4616,58.37000000000006,71,96,2.85,UY,1622592801,south
19,labuhan,-6.8844,112.2051,79.32200000000003,85,56,3.63,ID,1622592414,south
20,padang,-0.9492,100.3543,75.25400000000005,82,84,1.49,ID,1622592135,south
21,ribeira grande,38.5167,-28.7,60.29600000000005,60,70,6.0,PT,1622592801,north
22,punta arenas,-53.15,-70.9167,24.908000000000005,93,40,0.54,CL,1622592802,south
23,nikolskoye,59.7035,30.7861,45.391999999999996,75,16,0.98,RU,1622592802,north
24,bengkulu,-3.8004,102.2655,75.75800000000001,89,92,1.65,ID,1622592370,south
25,miri,4.4148,114.0089,79.44800000000004,82,86,1.76,MY,1622592802,north
26,tabou,4.423,-7.3528,78.62000000000006,83,99,2.19,CI,1622592803,north
27,port elizabeth,-33.918,25.5701,57.092,82,40,5.87,ZA,1622592803,south
28,ust-kulom,61.6864,53.6902,34.12400000000001,84,3,1.81,RU,1622592803,north
29,cape town,-33.9258,18.4232,57.110000000000085,87,6,0.89,ZA,1622592332,south
30,mokrousovo,55.8103,66.7653,48.776000000000096,61,71,0.77,RU,1622592804,north
31,lorengau,-2.0226,147.2712,81.69800000000004,76,90,2.02,PG,1622592804,south
32,mahebourg,-20.4081,57.7,74.24600000000005,75,67,6.57,MU,1622592804,south
33,qaanaaq,77.484,-69.3632,28.34600000000005,87,91,2.2,GL,1622592804,north
